,lastStopSeq,vehicle_location_longitude,vehicle_location_latitude
0,1,-122.675518,45.526135
1,2,-122.675425,45.523522
2,3,-122.676156,45.521377
3,4,-122.677941,45.518067
4,5,-122.680419,45.513536
5,7,-122.683077,45.508826
6,6,-122.682921,45.50908
7,8,-122.675109,45.506181
8,9,-122.670613,45.502834
9,10,-122.661926,45.506468
10,11,-122.652921,45.502548
11,12,-122.648483,45.493522
12,13,-122.646322,45.48555800000001
13,14,-122.639231,45.471413
14,15,-122.635627,45.456007
15,16,-122.641051,45.438486
